# Simulation 1 (Up to date),,,,,,,,,,,,,,,,,,,,,,
# 431 data points written for 10 variables.,,,,,,,,,,,,,,,,,,,,,,
# Simulation warnings:,,,,,,,,,,,,,,,,,,,,,,
#   Recovery device deployment at high speed (146 m/s),,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),V^2 (x),V^2 * a (x * y),V^4 (x ^ 2),N,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Event BURNOUT occurred at t=1.599 seconds,,,,,,,,,,,,,,,,,,,,,,
# Event EJECTION_CHARGE occurred at t=1.599 seconds,,,,,,,,,,,,,,,,,,,,,,
1.6083,148.85,120.51,-2623,14522.6601,-38092937.4423,210907656.380132,44,,,,,,,,,,,,,,,
1.6085,148.87,120.03,-2602.2,14407.2009,-37490418.18198,207567437.772961,45,,,,,,,,,,,,,,,
1.6087,148.89,119.55,-2581.4,14292.2025,-36893891.5335,204267052.301006,46,,,,,,,,,,,,,,,
1.6089,148.91,119.06,-2560.8,14175.2836,-36300066.24288,200938665.140429,47,,,,,,,,,,,,,,,
1.609,148.94,118.58,-2540.2,14061.2164,-35718301.89928,197717806.647629,48,,,,,,,,,,,,,,,
1.6092,148.96,118.1,-2519.7,13947.61,-35143792.917,194535824.7121,49,,,,,,,,,,,,,,,
1.6094,148.98,117.61,-2499.2,13832.1121,-34569214.56032,191327325.146966,50,,,,,,,,,,,,,,,
1.6096,149.01,117.13,-2478.9,13719.4369,-34009112.13141,188222948.853082,51,,,,,,,,,,,,,,,
1.6098,149.03,116.65,-2458.6,13607.2225,-33454717.2385,185156504.164506,52,,,,,,,,,,,,,,,
1.61,149.05,116.16,-2438.5,13493.1456,-32903035.5456,182064978.182799,53,,,,,,,,,,,,,,,
1.6102,149.07,115.68,-2418.4,13381.8624,-32362696.02816,179074241.292534,54,,,,,,,,,,,,,,,
1.6104,149.1,115.2,-2398.4,13271.04,-31829262.336,176120502.6816,55,,,,,,,,,,,,,,,
1.6106,149.12,114.71,-2378.5,13158.3841,-31297216.58185,173143072.123133,56,,,,,,,,,,,,,,,
1.6108,149.14,114.23,-2358.6,13048.4929,-30776175.35394,170263166.96135,57,,,,,,,,,,,,,,,
1.611,149.17,113.75,-2338.9,12939.0625,-30263173.28125,167419338.378906,58,,,,,,,,,,,,,,,
1.6112,149.19,113.26,-2319.2,12827.8276,-29750297.76992,164553160.935322,59,,,,,,,,,,,,,,,
1.6115,149.22,112.78,-2299.6,12719.3284,-29249367.58864,161781314.947047,60,,,,,,,,,,,,,,,
1.6117,149.24,112.3,-2280.1,12611.29,-28755002.329,159044635.4641,61,,,,,,,,,,,,,,,
1.6119,149.26,111.81,-2260.7,12501.4761,-28262087.01927,156286904.678871,62,,,,,,,,,,,,,,,
1.6121,149.29,111.33,-2241.3,12394.3689,-27779499.01557,153620380.429287,63,,,,,,,,,,,,,,,
1.6123,149.31,110.85,-2222.1,12287.7225,-27304548.16725,150988124.237006,64,,,,,,,,,,,,,,,
1.6125,149.34,110.36,-2202.9,12179.3296,-26829845.17584,148336069.505436,65,,,,,,,,,,,,,,,
1.6128,149.36,109.88,-2183.8,12073.6144,-26366359.12672,145772164.679887,66,,,,,,,,,,,,,,,
1.613,149.38,109.4,-2164.8,11968.36,-25909105.728,143241641.0896,67,,,,,,,,,,,,,,,
1.6132,149.41,108.91,-2145.9,11861.3881,-25453352.72379,140692527.658822,68,,,,,,,,,,,,,,,
1.6134,149.43,108.43,-2127.1,11757.0649,-25008452.74879,138228575.062812,69,,,,,,,,,,,,,,,
